point 027
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-7.8743E-1	4.5296E-1	5.4851E0	1.2000E2	
2	-7.8957E-1	-2.7174E0	5.4838E0	2.3400E3	
3	-7.8812E-1	-5.6607E-1	5.4811E0	4.5600E3	
4	-7.9048E-1	-4.0761E0	5.4780E0	6.7800E3	
5	-7.8934E-1	-2.3777E0	5.4747E0	9.0000E3	
6	-7.9208E-1	-6.4538E0	5.4710E0	1.1220E4	
7	-7.8552E-1	3.2836E0	5.4673E0	1.3440E4	
8	-7.8651E-1	1.8117E0	5.4635E0	1.5660E4	
9	-7.8445E-1	4.8688E0	5.4594E0	1.7880E4	
10	-7.8545E-1	3.3968E0	5.4553E0	2.0100E4	
11	-7.8674E-1	1.4720E0	5.4511E0	2.2320E4	
12	-7.8621E-1	2.2646E0	5.4469E0	2.4540E4	
13	-7.8857E-1	-1.2454E0	5.4425E0	2.6760E4	
14	-7.8636E-1	2.0381E0	5.4382E0	2.8980E4	
15	-7.8835E-1	-9.0575E-1	5.4337E0	3.1200E4	
16	-7.8629E-1	2.1513E0	5.4293E0	3.3420E4	
17	-7.8651E-1	1.8117E0	5.4248E0	3.5640E4	
18	-7.8598E-1	2.6042E0	5.4202E0	3.7860E4	
19	-7.8499E-1	4.0762E0	5.4157E0	4.0080E4	
20	-7.8682E-1	1.3588E0	5.4111E0	4.2300E4	
21	-7.8613E-1	2.3778E0	5.4066E0	4.4520E4	
22	-7.8537E-1	3.5101E0	5.4019E0	4.6740E4	
23	-7.8415E-1	5.3217E0	5.3972E0	4.8960E4	
24	-7.8445E-1	4.8688E0	5.3925E0	5.1180E4	
25	-7.8346E-1	6.3407E0	5.3879E0	5.3400E4	
26	-7.8484E-1	4.3026E0	5.3832E0	5.5620E4	
27	-7.8484E-1	4.3026E0	5.3784E0	5.7840E4	
28	-7.8659E-1	1.6984E0	5.3736E0	6.0060E4	
29	-7.8369E-1	6.0010E0	5.3690E0	6.2280E4	
30	-7.8430E-1	5.0952E0	5.3639E0	6.4500E4	
31	-7.8392E-1	5.6613E0	5.3593E0	6.6720E4	
32	-7.8499E-1	4.0762E0	5.3544E0	6.8940E4	
33	-7.8407E-1	5.4349E0	5.3496E0	7.1160E4	
34	-7.8423E-1	5.2084E0	5.3448E0	7.3380E4	
35	-7.8369E-1	6.0010E0	5.3398E0	7.5600E4	
36	-7.8362E-1	6.1142E0	5.3350E0	7.7820E4	
37	-7.8461E-1	4.6423E0	5.3302E0	8.0040E4	
