point 126
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-8.2985E-1	-6.5099E-1	6.1471E0	1.2000E2	
2	-8.3076E-1	-2.0097E0	6.1462E0	2.3400E3	
3	-8.3130E-1	-2.8023E0	6.1437E0	4.5600E3	
4	-8.3084E-1	-2.1229E0	6.1409E0	6.7800E3	
5	-8.2970E-1	-4.2454E-1	6.1377E0	9.0000E3	
6	-8.2848E-1	1.3871E0	6.1343E0	1.1220E4	
7	-8.2932E-1	1.4159E-1	6.1308E0	1.3440E4	
8	-8.2863E-1	1.1606E0	6.1270E0	1.5660E4	
9	-8.3015E-1	-1.1039E0	6.1232E0	1.7880E4	
10	-8.2863E-1	1.1606E0	6.1192E0	2.0100E4	
11	-8.2848E-1	1.3871E0	6.1151E0	2.2320E4	
12	-8.2954E-1	-1.9809E-1	6.1109E0	2.4540E4	
13	-8.2779E-1	2.4061E0	6.1068E0	2.6760E4	
14	-8.2764E-1	2.6326E0	6.1025E0	2.8980E4	
15	-8.2901E-1	5.9449E-1	6.0982E0	3.1200E4	
16	-8.2924E-1	2.5481E-1	6.0937E0	3.3420E4	
17	-8.2817E-1	1.8400E0	6.0893E0	3.5640E4	
18	-8.2779E-1	2.4061E0	6.0849E0	3.7860E4	
19	-8.2481E-1	6.8219E0	6.0804E0	4.0080E4	
20	-8.2703E-1	3.5384E0	6.0759E0	4.2300E4	
21	-8.2733E-1	3.0855E0	6.0714E0	4.4520E4	
22	-8.2481E-1	6.8219E0	6.0667E0	4.6740E4	
23	-8.2779E-1	2.4061E0	6.0620E0	4.8960E4	
24	-8.2855E-1	1.2738E0	6.0574E0	5.1180E4	
25	-8.2695E-1	3.6516E0	6.0528E0	5.3400E4	
26	-8.2649E-1	4.3309E0	6.0481E0	5.5620E4	
27	-8.2550E-1	5.8029E0	6.0434E0	5.7840E4	
28	-8.2657E-1	4.2177E0	6.0387E0	6.0060E4	
29	-8.2550E-1	5.8029E0	6.0339E0	6.2280E4	
30	-8.2603E-1	5.0103E0	6.0292E0	6.4500E4	
31	-8.2558E-1	5.6896E0	6.0244E0	6.6720E4	
32	-8.2527E-1	6.1426E0	6.0195E0	6.8940E4	
33	-8.2741E-1	2.9722E0	6.0148E0	7.1160E4	
34	-8.2550E-1	5.8029E0	6.0100E0	7.3380E4	
35	-8.3099E-1	-2.3494E0	6.0051E0	7.5600E4	
36	-8.2405E-1	7.9542E0	6.0003E0	7.7820E4	
37	-8.2581E-1	5.3500E0	5.9955E0	8.0040E4	
38	-8.2550E-1	5.8029E0	5.9906E0	8.2260E4	
39	-8.2520E-1	6.2558E0	5.9857E0	8.4480E4	
40	-8.2130E-1	1.2030E1	5.9808E0	8.6700E4	
41	-8.2443E-1	7.3880E0	5.9759E0	8.8920E4	
42	-8.2596E-1	5.1235E0	5.9710E0	9.1140E4	
43	-8.2497E-1	6.5955E0	5.9661E0	9.3360E4	
44	-8.2512E-1	6.3690E0	5.9612E0	9.5580E4	
45	-8.2344E-1	8.8600E0	5.9562E0	9.7800E4	
46	-8.2260E-1	1.0105E1	5.9512E0	1.0002E5	
47	-8.2489E-1	6.7087E0	5.9463E0	1.0224E5	
48	-8.2367E-1	8.5203E0	5.9412E0	1.0446E5	
49	-8.2367E-1	8.5203E0	5.9363E0	1.0668E5	
50	-8.2191E-1	1.1124E1	5.9314E0	1.0890E5	
51	-8.2520E-1	6.2558E0	5.9265E0	1.1112E5	
52	-8.2458E-1	7.1616E0	5.9214E0	1.1334E5	
53	-8.2222E-1	1.0672E1	5.9163E0	1.1556E5	
54	-8.2359E-1	8.6335E0	5.9113E0	1.1778E5	
55	-8.2085E-1	1.2710E1	5.9063E0	1.2000E5	
56	-8.2146E-1	1.1804E1	5.9013E0	1.2222E5	
57	-8.2199E-1	1.1011E1	5.8961E0	1.2444E5	
58	-8.2306E-1	9.4261E0	5.8911E0	1.2666E5	
59	-8.2230E-1	1.0558E1	5.8861E0	1.2888E5	
60	-8.2138E-1	1.1917E1	5.8811E0	1.3110E5	
61	-8.2214E-1	1.0785E1	5.8760E0	1.3332E5	
62	-8.2115E-1	1.2257E1	5.8708E0	1.3554E5	
63	-8.1947E-1	1.4748E1	5.8659E0	1.3776E5	
64	-8.1940E-1	1.4861E1	5.8606E0	1.3998E5	
65	-8.2062E-1	1.3049E1	5.8555E0	1.4220E5	
66	-8.2291E-1	9.6525E0	5.8505E0	1.4442E5	
67	-8.1932E-1	1.4974E1	5.8452E0	1.4664E5	
68	-8.2214E-1	1.0785E1	5.8401E0	1.4886E5	
69	-8.1818E-1	1.6673E1	5.8351E0	1.5108E5	
70	-8.1833E-1	1.6446E1	5.8299E0	1.5330E5	
71	-8.2092E-1	1.2596E1	5.8248E0	1.5552E5	
72	-8.1825E-1	1.6559E1	5.8196E0	1.5774E5	
73	-8.1970E-1	1.4408E1	5.8144E0	1.5996E5	
74	-8.1787E-1	1.7125E1	5.8093E0	1.6218E5	
75	-8.2100E-1	1.2483E1	5.8041E0	1.6440E5	
76	-8.1917E-1	1.5201E1	5.7990E0	1.6662E5	
77	-8.1886E-1	1.5654E1	5.7937E0	1.6884E5	
78	-8.1673E-1	1.8824E1	5.7885E0	1.7106E5	
79	-8.1833E-1	1.6446E1	5.7833E0	1.7328E5	
80	-8.1596E-1	1.9956E1	5.7781E0	1.7550E5	
81	-8.2039E-1	1.3389E1	5.7729E0	1.7772E5	
82	-8.1482E-1	2.1654E1	5.7676E0	1.7994E5	
83	-8.1795E-1	1.7012E1	5.7625E0	1.8216E5	
84	-8.1909E-1	1.5314E1	5.7572E0	1.8438E5	
85	-8.1482E-1	2.1654E1	5.7520E0	1.8660E5	
86	-8.1490E-1	2.1541E1	5.7467E0	1.8882E5	
87	-8.1474E-1	2.1768E1	5.7414E0	1.9104E5	
88	-8.1779E-1	1.7239E1	5.7362E0	1.9326E5	
89	-8.1535E-1	2.0862E1	5.7308E0	1.9548E5	
90	-8.1696E-1	1.8484E1	5.7257E0	1.9770E5	
91	-8.1436E-1	2.2334E1	5.7204E0	1.9992E5	
92	-8.1451E-1	2.2107E1	5.7150E0	2.0214E5	
93	-8.1375E-1	2.3240E1	5.7098E0	2.0436E5	
94	-8.1482E-1	2.1654E1	5.7045E0	2.0658E5	
95	-8.1535E-1	2.0862E1	5.6992E0	2.0880E5	
96	-8.1581E-1	2.0183E1	5.6938E0	2.1102E5	
97	-8.1245E-1	2.5164E1	5.6884E0	2.1324E5	
98	-8.1482E-1	2.1654E1	5.6832E0	2.1546E5	
99	-8.1299E-1	2.4372E1	5.6779E0	2.1768E5	
100	-8.1436E-1	2.2334E1	5.6725E0	2.1990E5	
101	-8.1299E-1	2.4372E1	5.6672E0	2.2212E5	
102	-8.1314E-1	2.4145E1	5.6619E0	2.2434E5	
103	-8.1436E-1	2.2334E1	5.6565E0	2.2656E5	
104	-8.1543E-1	2.0749E1	5.6512E0	2.2878E5	
105	-8.1055E-1	2.7995E1	5.6458E0	2.3100E5	
106	-8.1276E-1	2.4712E1	5.6403E0	2.3322E5	
107	-8.1200E-1	2.5844E1	5.6351E0	2.3544E5	
108	-8.1284E-1	2.4598E1	5.6297E0	2.3766E5	
109	-8.1314E-1	2.4145E1	5.6243E0	2.3988E5	
110	-8.1413E-1	2.2674E1	5.6188E0	2.4210E5	
111	-8.1245E-1	2.5164E1	5.6135E0	2.4432E5	
112	-8.1108E-1	2.7203E1	5.6080E0	2.4654E5	
113	-8.1436E-1	2.2334E1	5.6027E0	2.4876E5	
114	-8.1322E-1	2.4032E1	5.5973E0	2.5098E5	
115	-8.1161E-1	2.6410E1	5.5919E0	2.5320E5	
116	-8.1200E-1	2.5844E1	5.5863E0	2.5542E5	
117	-8.1200E-1	2.5844E1	5.5809E0	2.5764E5	
118	-8.1192E-1	2.5957E1	5.5755E0	2.5986E5	
119	-8.1169E-1	2.6297E1	5.5702E0	2.6208E5	
120	-8.0978E-1	2.9127E1	5.5647E0	2.6430E5	
121	-8.1055E-1	2.7995E1	5.5592E0	2.6652E5	
122	-8.1116E-1	2.7089E1	5.5537E0	2.6874E5	
123	-8.1131E-1	2.6863E1	5.5483E0	2.7096E5	
124	-8.1047E-1	2.8108E1	5.5428E0	2.7318E5	
125	-8.0971E-1	2.9241E1	5.5373E0	2.7540E5	
126	-8.1093E-1	2.7429E1	5.5318E0	2.7762E5	
127	-8.0772E-1	3.2184E1	5.5263E0	2.7984E5	
128	-8.1154E-1	2.6523E1	5.5208E0	2.8206E5	
129	-8.0902E-1	3.0260E1	5.5153E0	2.8428E5	
130	-8.1017E-1	2.8561E1	5.5098E0	2.8650E5	
131	-8.0994E-1	2.8901E1	5.5043E0	2.8872E5	
132	-8.0978E-1	2.9127E1	5.4989E0	2.9094E5	
133	-8.0963E-1	2.9354E1	5.4933E0	2.9316E5	
134	-8.0627E-1	3.4336E1	5.4878E0	2.9538E5	
135	-8.1001E-1	2.8788E1	5.4822E0	2.9760E5	
136	-8.0780E-1	3.2071E1	5.4767E0	2.9982E5	
137	-8.0582E-1	3.5015E1	5.4711E0	3.0204E5	
138	-8.0635E-1	3.4223E1	5.4656E0	3.0426E5	
139	-8.0833E-1	3.1279E1	5.4600E0	3.0648E5	
140	-8.0849E-1	3.1052E1	5.4544E0	3.0870E5	
141	-8.0818E-1	3.1505E1	5.4489E0	3.1092E5	
142	-8.0719E-1	3.2977E1	5.4433E0	3.1314E5	
143	-8.0482E-1	3.6487E1	5.4378E0	3.1536E5	
