point 153
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-5.3587E0	-4.7515E-3	9.2133E-1	1.2000E2	
2	-5.3296E0	1.4767E-2	9.2240E-1	3.0000E2	
3	-5.2409E0	7.4295E-2	9.2248E-1	4.8000E2	
4	-5.2338E0	7.9111E-2	9.2242E-1	6.6000E2	
5	-5.2395E0	7.5269E-2	9.2247E-1	8.4000E2	
6	-5.2095E0	9.5402E-2	9.2239E-1	1.0200E3	
7	-5.2061E0	9.7707E-2	9.2243E-1	1.2000E3	
8	-5.2212E0	8.7564E-2	9.2229E-1	1.3800E3	
9	-5.2406E0	7.4500E-2	9.2228E-1	1.5600E3	
10	-5.2175E0	9.0023E-2	9.2219E-1	1.7400E3	
11	-5.2081E0	9.6324E-2	9.2213E-1	1.9200E3	
12	-5.1973E0	1.0360E-1	9.2203E-1	2.1000E3	
13	-5.1972E0	1.0365E-1	9.2194E-1	2.2800E3	
14	-5.1986E0	1.0273E-1	9.2192E-1	2.4600E3	
15	-5.2196E0	8.8640E-2	9.2176E-1	2.6400E3	
16	-5.2307E0	8.1160E-2	9.2168E-1	2.8200E3	
17	-5.2158E0	9.1201E-2	9.2162E-1	3.0000E3	
18	-5.2281E0	8.2902E-2	9.2156E-1	3.1800E3	
19	-5.1961E0	1.0442E-1	9.2146E-1	3.3600E3	
20	-5.2189E0	8.9101E-2	9.2133E-1	3.5400E3	
21	-5.2164E0	9.0740E-2	9.2126E-1	3.7200E3	
22	-5.2494E0	6.8609E-2	9.2119E-1	3.9000E3	
23	-5.2413E0	7.4039E-2	9.2101E-1	4.0800E3	
24	-5.2175E0	9.0023E-2	9.2085E-1	4.2600E3	
25	-5.2135E0	9.2687E-2	9.2082E-1	4.4400E3	
26	-5.2280E0	8.2953E-2	9.2072E-1	4.6200E3	
27	-5.2132E0	9.2943E-2	9.2067E-1	4.8000E3	
28	-5.2468E0	7.0351E-2	9.2051E-1	4.9800E3	
29	-5.2203E0	8.8127E-2	9.2042E-1	5.1600E3	
30	-5.2026E0	1.0001E-1	9.2028E-1	5.3400E3	
31	-5.2012E0	1.0099E-1	9.2018E-1	5.5200E3	
32	-5.2106E0	9.4633E-2	9.2007E-1	5.7000E3	
33	-5.2169E0	9.0433E-2	9.1991E-1	5.8800E3	
34	-5.2225E0	8.6693E-2	9.1979E-1	6.0600E3	
35	-5.2438E0	7.2400E-2	9.1974E-1	6.2400E3	
36	-5.2161E0	9.0996E-2	9.1961E-1	6.4200E3	
37	-5.2007E0	1.0134E-1	9.1948E-1	6.6000E3	
38	-5.2048E0	9.8527E-2	9.1929E-1	6.7800E3	
39	-5.2370E0	7.6908E-2	9.1920E-1	6.9600E3	
40	-5.2193E0	8.8844E-2	9.1915E-1	7.1400E3	
41	-5.1896E0	1.0877E-1	9.1897E-1	7.3200E3	
42	-5.1958E0	1.0462E-1	9.1883E-1	7.5000E3	
43	-5.2201E0	8.8281E-2	9.1880E-1	7.6800E3	
44	-5.2003E0	1.0160E-1	9.1861E-1	7.8600E3	
45	-5.1936E0	1.0611E-1	9.1846E-1	8.0400E3	
46	-5.2204E0	8.8076E-2	9.1839E-1	8.2200E3	
47	-5.2445E0	7.1888E-2	9.1828E-1	8.4000E3	
48	-5.2245E0	8.5310E-2	9.1820E-1	8.5800E3	
49	-5.2217E0	8.7205E-2	9.1795E-1	8.7600E3	
50	-5.2083E0	9.6222E-2	9.1781E-1	8.9400E3	
51	-5.2012E0	1.0099E-1	9.1776E-1	9.1200E3	
52	-5.2091E0	9.5658E-2	9.1765E-1	9.3000E3	
53	-5.2048E0	9.8527E-2	9.1744E-1	9.4800E3	
54	-5.1901E0	1.0841E-1	9.1736E-1	9.6600E3	
55	-5.2370E0	7.6908E-2	9.1727E-1	9.8400E3	
56	-5.2468E0	7.0351E-2	9.1712E-1	1.0020E4	
57	-5.2328E0	7.9777E-2	9.1691E-1	1.0200E4	
58	-5.2514E0	6.7277E-2	9.1689E-1	1.0380E4	
59	-5.2354E0	7.8035E-2	9.1668E-1	1.0560E4	
60	-5.1943E0	1.0560E-1	9.1659E-1	1.0740E4	
61	-5.2397E0	7.5115E-2	9.1652E-1	1.0920E4	
62	-5.2183E0	8.9510E-2	9.1628E-1	1.1100E4	
63	-5.1955E0	1.0483E-1	9.1616E-1	1.1280E4	
64	-5.2149E0	9.1765E-2	9.1612E-1	1.1460E4	
65	-5.2251E0	8.4900E-2	9.1596E-1	1.1640E4	
66	-5.2104E0	9.4787E-2	9.1577E-1	1.1820E4	
67	-5.2366E0	7.7215E-2	9.1568E-1	1.2000E4	
