point 212
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-5.6411E0	-4.1239E-3	9.7493E-1	1.2000E2	
2	-5.5885E0	3.1173E-2	9.7585E-1	3.0000E2	
3	-5.4694E0	1.1119E-1	9.7600E-1	4.8000E2	
4	-5.4886E0	9.8283E-2	9.7599E-1	6.6000E2	
5	-5.4800E0	1.0402E-1	9.7597E-1	8.4000E2	
6	-5.4597E0	1.1770E-1	9.7600E-1	1.0200E3	
7	-5.4864E0	9.9769E-2	9.7598E-1	1.2000E3	
8	-5.4690E0	1.1145E-1	9.7592E-1	1.3800E3	
9	-5.4670E0	1.1278E-1	9.7583E-1	1.5600E3	
10	-5.4803E0	1.0387E-1	9.7574E-1	1.7400E3	
11	-5.4636E0	1.1504E-1	9.7573E-1	1.9200E3	
12	-5.4806E0	1.0366E-1	9.7567E-1	2.1000E3	
13	-5.4634E0	1.1519E-1	9.7557E-1	2.2800E3	
14	-5.4819E0	1.0274E-1	9.7554E-1	2.4600E3	
15	-5.4552E0	1.2072E-1	9.7536E-1	2.6400E3	
16	-5.4437E0	1.2841E-1	9.7535E-1	2.8200E3	
17	-5.4684E0	1.1181E-1	9.7525E-1	3.0000E3	
18	-5.4561E0	1.2011E-1	9.7514E-1	3.1800E3	
19	-5.4314E0	1.3671E-1	9.7501E-1	3.3600E3	
20	-5.4603E0	1.1729E-1	9.7500E-1	3.5400E3	
21	-5.4963E0	9.3109E-2	9.7485E-1	3.7200E3	
22	-5.4408E0	1.3040E-1	9.7477E-1	3.9000E3	
23	-5.4362E0	1.3348E-1	9.7468E-1	4.0800E3	
24	-5.4181E0	1.4562E-1	9.7461E-1	4.2600E3	
25	-5.4441E0	1.2815E-1	9.7446E-1	4.4400E3	
26	-5.4195E0	1.4470E-1	9.7430E-1	4.6200E3	
27	-5.4193E0	1.4480E-1	9.7426E-1	4.8000E3	
28	-5.4292E0	1.3819E-1	9.7413E-1	4.9800E3	
29	-5.4371E0	1.3286E-1	9.7403E-1	5.1600E3	
30	-5.4330E0	1.3558E-1	9.7391E-1	5.3400E3	
31	-5.4649E0	1.1422E-1	9.7387E-1	5.5200E3	
32	-5.4436E0	1.2846E-1	9.7370E-1	5.7000E3	
33	-5.4276E0	1.3927E-1	9.7365E-1	5.8800E3	
34	-5.4511E0	1.2344E-1	9.7347E-1	6.0600E3	
35	-5.4646E0	1.1442E-1	9.7341E-1	6.2400E3	
36	-5.4507E0	1.2374E-1	9.7330E-1	6.4200E3	
37	-5.4652E0	1.1396E-1	9.7311E-1	6.6000E3	
38	-5.4819E0	1.0279E-1	9.7304E-1	6.7800E3	
39	-5.4897E0	9.7515E-2	9.7297E-1	6.9600E3	
40	-5.4744E0	1.0781E-1	9.7280E-1	7.1400E3	
41	-5.4279E0	1.3901E-1	9.7269E-1	7.3200E3	
42	-5.4654E0	1.1386E-1	9.7252E-1	7.5000E3	
43	-5.4693E0	1.1124E-1	9.7247E-1	7.6800E3	
44	-5.4727E0	1.0894E-1	9.7226E-1	7.8600E3	
45	-5.4611E0	1.1673E-1	9.7217E-1	8.0400E3	
46	-5.4462E0	1.2672E-1	9.7197E-1	8.2200E3	
47	-5.4525E0	1.2251E-1	9.7193E-1	8.4000E3	
48	-5.4284E0	1.3870E-1	9.7179E-1	8.5800E3	
49	-5.4568E0	1.1959E-1	9.7170E-1	8.7600E3	
50	-5.4629E0	1.1555E-1	9.7155E-1	8.9400E3	
51	-5.4301E0	1.3758E-1	9.7142E-1	9.1200E3	
52	-5.4700E0	1.1078E-1	9.7128E-1	9.3000E3	
53	-5.4452E0	1.2743E-1	9.7122E-1	9.4800E3	
54	-5.4420E0	1.2958E-1	9.7105E-1	9.6600E3	
55	-5.4571E0	1.1944E-1	9.7095E-1	9.8400E3	
56	-5.4476E0	1.2579E-1	9.7087E-1	1.0020E4	
57	-5.4371E0	1.3286E-1	9.7072E-1	1.0200E4	
58	-5.4611E0	1.1673E-1	9.7056E-1	1.0380E4	
59	-5.4556E0	1.2041E-1	9.7043E-1	1.0560E4	
60	-5.4421E0	1.2948E-1	9.7032E-1	1.0740E4	
61	-5.4285E0	1.3865E-1	9.7016E-1	1.0920E4	
62	-5.4267E0	1.3983E-1	9.6993E-1	1.1100E4	
63	-5.4184E0	1.4541E-1	9.6989E-1	1.1280E4	
64	-5.4147E0	1.4787E-1	9.6972E-1	1.1460E4	
65	-5.4182E0	1.4557E-1	9.6971E-1	1.1640E4	
66	-5.4325E0	1.3594E-1	9.6952E-1	1.1820E4	
67	-5.4545E0	1.2118E-1	9.6940E-1	1.2000E4	
68	-5.4486E0	1.2513E-1	9.6926E-1	1.2180E4	
69	-5.4593E0	1.1796E-1	9.6907E-1	1.2360E4	
70	-5.4207E0	1.4388E-1	9.6895E-1	1.2540E4	
71	-5.4462E0	1.2672E-1	9.6889E-1	1.2720E4	
72	-5.4151E0	1.4762E-1	9.6870E-1	1.2900E4	
73	-5.4254E0	1.4070E-1	9.6866E-1	1.3080E4	
74	-5.4321E0	1.3619E-1	9.6849E-1	1.3260E4	
75	-5.4223E0	1.4280E-1	9.6831E-1	1.3440E4	
76	-5.4595E0	1.1780E-1	9.6822E-1	1.3620E4	
77	-5.4375E0	1.3256E-1	9.6802E-1	1.3800E4	
78	-5.4524E0	1.2257E-1	9.6792E-1	1.3980E4	
79	-5.4333E0	1.3537E-1	9.6771E-1	1.4160E4	
80	-5.4619E0	1.1621E-1	9.6763E-1	1.4340E4	
81	-5.4361E0	1.3353E-1	9.6748E-1	1.4520E4	
82	-5.4352E0	1.3414E-1	9.6732E-1	1.4700E4	
