point 248
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-5.7254E0	6.5446E-3	9.4778E-1	1.2000E2	
2	-5.7194E0	1.0592E-2	9.4881E-1	3.0000E2	
3	-5.6036E0	8.8307E-2	9.4886E-1	4.8000E2	
4	-5.6261E0	7.3194E-2	9.4878E-1	6.6000E2	
5	-5.6062E0	8.6616E-2	9.4887E-1	8.4000E2	
6	-5.5648E0	1.1438E-1	9.4879E-1	1.0200E3	
7	-5.6004E0	9.0509E-2	9.4882E-1	1.2000E3	
8	-5.6097E0	8.4208E-2	9.4878E-1	1.3800E3	
9	-5.5976E0	9.2354E-2	9.4869E-1	1.5600E3	
10	-5.5680E0	1.1223E-1	9.4864E-1	1.7400E3	
11	-5.5457E0	1.2719E-1	9.4854E-1	1.9200E3	
12	-5.5610E0	1.1694E-1	9.4847E-1	2.1000E3	
13	-5.5650E0	1.1423E-1	9.4837E-1	2.2800E3	
14	-5.5457E0	1.2719E-1	9.4832E-1	2.4600E3	
15	-5.5366E0	1.3334E-1	9.4819E-1	2.6400E3	
16	-5.5809E0	1.0357E-1	9.4814E-1	2.8200E3	
17	-5.5762E0	1.0670E-1	9.4807E-1	3.0000E3	
18	-5.5788E0	1.0496E-1	9.4796E-1	3.1800E3	
19	-5.5537E0	1.2186E-1	9.4794E-1	3.3600E3	
20	-5.5746E0	1.0782E-1	9.4769E-1	3.5400E3	
21	-5.5531E0	1.2222E-1	9.4769E-1	3.7200E3	
22	-5.5484E0	1.2540E-1	9.4759E-1	3.9000E3	
23	-5.5643E0	1.1469E-1	9.4744E-1	4.0800E3	
24	-5.5470E0	1.2632E-1	9.4724E-1	4.2600E3	
25	-5.5478E0	1.2581E-1	9.4731E-1	4.4400E3	
26	-5.5455E0	1.2734E-1	9.4709E-1	4.6200E3	
27	-5.5785E0	1.0516E-1	9.4705E-1	4.8000E3	
28	-5.5764E0	1.0660E-1	9.4698E-1	4.9800E3	
29	-5.5687E0	1.1177E-1	9.4682E-1	5.1600E3	
30	-5.5546E0	1.2125E-1	9.4668E-1	5.3400E3	
31	-5.5682E0	1.1208E-1	9.4660E-1	5.5200E3	
32	-5.5676E0	1.1254E-1	9.4652E-1	5.7000E3	
33	-5.5668E0	1.1305E-1	9.4634E-1	5.8800E3	
34	-5.5375E0	1.3272E-1	9.4622E-1	6.0600E3	
35	-5.5602E0	1.1751E-1	9.4616E-1	6.2400E3	
36	-5.5574E0	1.1935E-1	9.4597E-1	6.4200E3	
37	-5.5543E0	1.2145E-1	9.4591E-1	6.6000E3	
38	-5.5309E0	1.3718E-1	9.4579E-1	6.7800E3	
39	-5.5222E0	1.4297E-1	9.4564E-1	6.9600E3	
40	-5.5326E0	1.3600E-1	9.4560E-1	7.1400E3	
41	-5.5183E0	1.4563E-1	9.4537E-1	7.3200E3	
42	-5.5479E0	1.2570E-1	9.4530E-1	7.5000E3	
43	-5.5581E0	1.1889E-1	9.4523E-1	7.6800E3	
44	-5.5579E0	1.1899E-1	9.4509E-1	7.8600E3	
45	-5.5706E0	1.1049E-1	9.4493E-1	8.0400E3	
46	-5.5681E0	1.1218E-1	9.4485E-1	8.2200E3	
47	-5.5476E0	1.2591E-1	9.4465E-1	8.4000E3	
48	-5.5313E0	1.3687E-1	9.4461E-1	8.5800E3	
49	-5.5502E0	1.2422E-1	9.4443E-1	8.7600E3	
50	-5.5547E0	1.2120E-1	9.4436E-1	8.9400E3	
51	-5.5562E0	1.2017E-1	9.4419E-1	9.1200E3	
52	-5.5801E0	1.0414E-1	9.4409E-1	9.3000E3	
53	-5.5583E0	1.1874E-1	9.4396E-1	9.4800E3	
54	-5.5657E0	1.1377E-1	9.4385E-1	9.6600E3	
55	-5.5776E0	1.0578E-1	9.4373E-1	9.8400E3	
56	-5.5624E0	1.1597E-1	9.4365E-1	1.0020E4	
57	-5.5609E0	1.1700E-1	9.4349E-1	1.0200E4	
58	-5.5639E0	1.1500E-1	9.4338E-1	1.0380E4	
59	-5.5660E0	1.1356E-1	9.4321E-1	1.0560E4	
60	-5.5390E0	1.3170E-1	9.4303E-1	1.0740E4	
61	-5.5610E0	1.1694E-1	9.4290E-1	1.0920E4	
