point 033
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-7.8606E-1	3.3119E0	5.5485E0	1.2000E2	
2	-7.8796E-1	4.8126E-1	5.5472E0	2.3400E3	
3	-7.8720E-1	1.6135E0	5.5445E0	4.5600E3	
4	-7.8644E-1	2.7458E0	5.5415E0	6.7800E3	
5	-7.8789E-1	5.9449E-1	5.5380E0	9.0000E3	
6	-7.8842E-1	-1.9809E-1	5.5344E0	1.1220E4	
7	-7.8880E-1	-7.6422E-1	5.5307E0	1.3440E4	
8	-7.8560E-1	3.9913E0	5.5267E0	1.5660E4	
9	-7.8697E-1	1.9532E0	5.5228E0	1.7880E4	
10	-7.8712E-1	1.7267E0	5.5186E0	2.0100E4	
11	-7.8773E-1	8.2094E-1	5.5144E0	2.2320E4	
12	-7.8644E-1	2.7458E0	5.5102E0	2.4540E4	
13	-7.8552E-1	4.1045E0	5.5059E0	2.6760E4	
14	-7.8636E-1	2.8590E0	5.5015E0	2.8980E4	
15	-7.8568E-1	3.8780E0	5.4971E0	3.1200E4	
16	-7.8606E-1	3.3119E0	5.4925E0	3.3420E4	
17	-7.8568E-1	3.8780E0	5.4881E0	3.5640E4	
18	-7.8751E-1	1.1606E0	5.4837E0	3.7860E4	
19	-7.8552E-1	4.1045E0	5.4791E0	4.0080E4	
20	-7.8743E-1	1.2738E0	5.4745E0	4.2300E4	
21	-7.8537E-1	4.3309E0	5.4698E0	4.4520E4	
22	-7.8712E-1	1.7267E0	5.4651E0	4.6740E4	
23	-7.8499E-1	4.8971E0	5.4605E0	4.8960E4	
24	-7.8560E-1	3.9913E0	5.4558E0	5.1180E4	
25	-7.8491E-1	5.0103E0	5.4511E0	5.3400E4	
26	-7.8545E-1	4.2177E0	5.4465E0	5.5620E4	
27	-7.8545E-1	4.2177E0	5.4417E0	5.7840E4	
28	-7.8392E-1	6.4822E0	5.4369E0	6.0060E4	
29	-7.8285E-1	8.0674E0	5.4321E0	6.2280E4	
30	-7.8392E-1	6.4822E0	5.4273E0	6.4500E4	
31	-7.8537E-1	4.3309E0	5.4226E0	6.6720E4	
32	-7.8384E-1	6.5955E0	5.4178E0	6.8940E4	
33	-7.8278E-1	8.1806E0	5.4130E0	7.1160E4	
34	-7.8209E-1	9.1996E0	5.4081E0	7.3380E4	
35	-7.8423E-1	6.0293E0	5.4032E0	7.5600E4	
36	-7.8323E-1	7.5013E0	5.3984E0	7.7820E4	
37	-7.8247E-1	8.6335E0	5.3935E0	8.0040E4	
38	-7.8430E-1	5.9161E0	5.3887E0	8.2260E4	
39	-7.8133E-1	1.0332E1	5.3838E0	8.4480E4	
40	-7.8415E-1	6.1426E0	5.3789E0	8.6700E4	
41	-7.7995E-1	1.2370E1	5.3740E0	8.8920E4	
42	-7.8239E-1	8.7467E0	5.3690E0	9.1140E4	
43	-7.8400E-1	6.3690E0	5.3641E0	9.3360E4	
44	-7.8232E-1	8.8600E0	5.3592E0	9.5580E4	
45	-7.8239E-1	8.7467E0	5.3542E0	9.7800E4	
46	-7.8163E-1	9.8790E0	5.3492E0	1.0002E5	
47	-7.8285E-1	8.0674E0	5.3442E0	1.0224E5	
48	-7.8133E-1	1.0332E1	5.3392E0	1.0446E5	
49	-7.7789E-1	1.5427E1	5.3343E0	1.0668E5	
50	-7.8270E-1	8.2938E0	5.3293E0	1.0890E5	
51	-7.7820E-1	1.4974E1	5.3243E0	1.1112E5	
52	-7.8262E-1	8.4071E0	5.3193E0	1.1334E5	
53	-7.7965E-1	1.2823E1	5.3142E0	1.1556E5	
54	-7.7911E-1	1.3615E1	5.3092E0	1.1778E5	
55	-7.8117E-1	1.0558E1	5.3041E0	1.2000E5	
56	-7.8171E-1	9.7658E0	5.2991E0	1.2222E5	
57	-7.7972E-1	1.2710E1	5.2940E0	1.2444E5	
58	-7.7950E-1	1.3049E1	5.2890E0	1.2666E5	
59	-7.8064E-1	1.1351E1	5.2839E0	1.2888E5	
60	-7.7759E-1	1.5880E1	5.2789E0	1.3110E5	
61	-7.7888E-1	1.3955E1	5.2738E0	1.3332E5	
62	-7.7972E-1	1.2710E1	5.2687E0	1.3554E5	
63	-7.7896E-1	1.3842E1	5.2636E0	1.3776E5	
64	-7.7812E-1	1.5087E1	5.2585E0	1.3998E5	
65	-7.7950E-1	1.3049E1	5.2533E0	1.4220E5	
66	-7.7888E-1	1.3955E1	5.2482E0	1.4442E5	
67	-7.7805E-1	1.5201E1	5.2431E0	1.4664E5	
68	-7.7950E-1	1.3049E1	5.2380E0	1.4886E5	
69	-7.7515E-1	1.9503E1	5.2328E0	1.5108E5	
70	-7.7484E-1	1.9956E1	5.2277E0	1.5330E5	
71	-7.7553E-1	1.8937E1	5.2225E0	1.5552E5	
72	-7.7888E-1	1.3955E1	5.2174E0	1.5774E5	
73	-7.7789E-1	1.5427E1	5.2121E0	1.5996E5	
74	-7.7698E-1	1.6786E1	5.2071E0	1.6218E5	
75	-7.7713E-1	1.6559E1	5.2018E0	1.6440E5	
76	-7.7713E-1	1.6559E1	5.1967E0	1.6662E5	
77	-7.7583E-1	1.8484E1	5.1915E0	1.6884E5	
78	-7.7553E-1	1.8937E1	5.1863E0	1.7106E5	
79	-7.7538E-1	1.9164E1	5.1811E0	1.7328E5	
80	-7.7477E-1	2.0069E1	5.1758E0	1.7550E5	
81	-7.7675E-1	1.7125E1	5.1706E0	1.7772E5	
82	-7.7530E-1	1.9277E1	5.1654E0	1.7994E5	
83	-7.7553E-1	1.8937E1	5.1601E0	1.8216E5	
84	-7.7728E-1	1.6333E1	5.1550E0	1.8438E5	
85	-7.7316E-1	2.2447E1	5.1497E0	1.8660E5	
86	-7.7431E-1	2.0749E1	5.1444E0	1.8882E5	
87	-7.7278E-1	2.3013E1	5.1391E0	1.9104E5	
88	-7.7271E-1	2.3126E1	5.1340E0	1.9326E5	
89	-7.7553E-1	1.8937E1	5.1287E0	1.9548E5	
90	-7.7362E-1	2.1768E1	5.1235E0	1.9770E5	
91	-7.7553E-1	1.8937E1	5.1180E0	1.9992E5	
92	-7.7652E-1	1.7465E1	5.1128E0	2.0214E5	
93	-7.7499E-1	1.9730E1	5.1075E0	2.0436E5	
94	-7.7194E-1	2.4259E1	5.1023E0	2.0658E5	
95	-7.7377E-1	2.1541E1	5.0969E0	2.0880E5	
96	-7.7286E-1	2.2900E1	5.0916E0	2.1102E5	
97	-7.7187E-1	2.4372E1	5.0863E0	2.1324E5	
98	-7.7263E-1	2.3240E1	5.0809E0	2.1546E5	
99	-7.7133E-1	2.5164E1	5.0756E0	2.1768E5	
100	-7.7019E-1	2.6863E1	5.0703E0	2.1990E5	
101	-7.7354E-1	2.1881E1	5.0649E0	2.2212E5	
102	-7.7133E-1	2.5164E1	5.0597E0	2.2434E5	
103	-7.7461E-1	2.0296E1	5.0542E0	2.2656E5	
104	-7.7332E-1	2.2221E1	5.0489E0	2.2878E5	
105	-7.7080E-1	2.5957E1	5.0435E0	2.3100E5	
106	-7.7194E-1	2.4259E1	5.0382E0	2.3322E5	
107	-7.7301E-1	2.2674E1	5.0328E0	2.3544E5	
108	-7.7118E-1	2.5391E1	5.0274E0	2.3766E5	
109	-7.7141E-1	2.5051E1	5.0220E0	2.3988E5	
110	-7.7026E-1	2.6750E1	5.0166E0	2.4210E5	
111	-7.7003E-1	2.7089E1	5.0113E0	2.4432E5	
112	-7.6965E-1	2.7655E1	5.0058E0	2.4654E5	
113	-7.7293E-1	2.2787E1	5.0004E0	2.4876E5	
114	-7.7164E-1	2.4712E1	4.9950E0	2.5098E5	
115	-7.7034E-1	2.6636E1	4.9896E0	2.5320E5	
116	-7.7271E-1	2.3126E1	4.9842E0	2.5542E5	
117	-7.7034E-1	2.6636E1	4.9787E0	2.5764E5	
118	-7.6920E-1	2.8335E1	4.9732E0	2.5986E5	
119	-7.7255E-1	2.3353E1	4.9678E0	2.6208E5	
120	-7.7026E-1	2.6750E1	4.9624E0	2.6430E5	
121	-7.6950E-1	2.7882E1	4.9570E0	2.6652E5	
122	-7.7003E-1	2.7089E1	4.9515E0	2.6874E5	
123	-7.6920E-1	2.8335E1	4.9460E0	2.7096E5	
124	-7.6790E-1	3.0260E1	4.9406E0	2.7318E5	
125	-7.6958E-1	2.7769E1	4.9352E0	2.7540E5	
126	-7.7065E-1	2.6184E1	4.9297E0	2.7762E5	
127	-7.6736E-1	3.1052E1	4.9241E0	2.7984E5	
128	-7.6721E-1	3.1279E1	4.9187E0	2.8206E5	
129	-7.6660E-1	3.2184E1	4.9131E0	2.8428E5	
130	-7.6775E-1	3.0486E1	4.9076E0	2.8650E5	
131	-7.6500E-1	3.4562E1	4.9022E0	2.8872E5	
132	-7.6797E-1	3.0146E1	4.8966E0	2.9094E5	
133	-7.6645E-1	3.2411E1	4.8911E0	2.9316E5	
134	-7.6469E-1	3.5015E1	4.8856E0	2.9538E5	
135	-7.6492E-1	3.4675E1	4.8801E0	2.9760E5	
136	-7.6668E-1	3.2071E1	4.8746E0	2.9982E5	
137	-7.6683E-1	3.1845E1	4.8689E0	3.0204E5	
138	-7.6607E-1	3.2977E1	4.8635E0	3.0426E5	
139	-7.6530E-1	3.4109E1	4.8580E0	3.0648E5	
140	-7.6645E-1	3.2411E1	4.8523E0	3.0870E5	
141	-7.6530E-1	3.4109E1	4.8468E0	3.1092E5	
142	-7.6393E-1	3.6147E1	4.8412E0	3.1314E5	
143	-7.6279E-1	3.7846E1	4.8357E0	3.1536E5	
144	-7.6302E-1	3.7506E1	4.8302E0	3.1758E5	
145	-7.6439E-1	3.5468E1	4.8245E0	3.1980E5	
146	-7.6324E-1	3.7166E1	4.8189E0	3.2202E5	
147	-7.6469E-1	3.5015E1	4.8134E0	3.2424E5	
148	-7.6324E-1	3.7166E1	4.8078E0	3.2646E5	
149	-7.6141E-1	3.9884E1	4.8022E0	3.2868E5	
150	-7.6431E-1	3.5581E1	4.7966E0	3.3090E5	
151	-7.6180E-1	3.9318E1	4.7909E0	3.3312E5	
152	-7.6454E-1	3.5242E1	4.7853E0	3.3534E5	
153	-7.6294E-1	3.7619E1	4.7797E0	3.3756E5	
154	-7.6080E-1	4.0790E1	4.7740E0	3.3978E5	
155	-7.6294E-1	3.7619E1	4.7684E0	3.4200E5	
156	-7.6378E-1	3.6374E1	4.7628E0	3.4422E5	
157	-7.6530E-1	3.4109E1	4.7572E0	3.4644E5	
158	-7.6355E-1	3.6714E1	4.7516E0	3.4866E5	
159	-7.6134E-1	3.9997E1	4.7459E0	3.5088E5	
160	-7.6012E-1	4.1809E1	4.7402E0	3.5310E5	
161	-7.6294E-1	3.7619E1	4.7346E0	3.5532E5	
162	-7.6149E-1	3.9771E1	4.7289E0	3.5754E5	
163	-7.5989E-1	4.2148E1	4.7233E0	3.5976E5	
164	-7.6012E-1	4.1809E1	4.7176E0	3.6198E5	
165	-7.5951E-1	4.2714E1	4.7118E0	3.6420E5	
166	-7.6241E-1	3.8412E1	4.7062E0	3.6642E5	
167	-7.6096E-1	4.0563E1	4.7006E0	3.6864E5	
168	-7.6195E-1	3.9091E1	4.6949E0	3.7086E5	
169	-7.6042E-1	4.1356E1	4.6891E0	3.7308E5	
170	-7.6012E-1	4.1809E1	4.6835E0	3.7530E5	
171	-7.6050E-1	4.1243E1	4.6777E0	3.7752E5	
172	-7.5890E-1	4.3620E1	4.6719E0	3.7974E5	
173	-7.5996E-1	4.2035E1	4.6663E0	3.8196E5	
174	-7.5851E-1	4.4186E1	4.6605E0	3.8418E5	
175	-7.5912E-1	4.3281E1	4.6549E0	3.8640E5	
176	-7.5874E-1	4.3847E1	4.6491E0	3.8862E5	
177	-7.5920E-1	4.3167E1	4.6433E0	3.9084E5	
178	-7.5745E-1	4.5772E1	4.6376E0	3.9306E5	
179	-7.5806E-1	4.4866E1	4.6318E0	3.9528E5	
180	-7.5981E-1	4.2262E1	4.6261E0	3.9750E5	
181	-7.5905E-1	4.3394E1	4.6203E0	3.9972E5	
182	-7.5867E-1	4.3960E1	4.6145E0	4.0194E5	
183	-7.5874E-1	4.3847E1	4.6088E0	4.0416E5	
184	-7.5722E-1	4.6111E1	4.6030E0	4.0638E5	
185	-7.5661E-1	4.7017E1	4.5972E0	4.0860E5	
186	-7.5645E-1	4.7243E1	4.5914E0	4.1082E5	
187	-7.5630E-1	4.7470E1	4.5857E0	4.1304E5	
188	-7.5409E-1	5.0753E1	4.5798E0	4.1526E5	
189	-7.5447E-1	5.0187E1	4.5740E0	4.1748E5	
190	-7.5684E-1	4.6677E1	4.5683E0	4.1970E5	
191	-7.5363E-1	5.1433E1	4.5623E0	4.2192E5	
192	-7.5684E-1	4.6677E1	4.5566E0	4.2414E5	
193	-7.5890E-1	4.3620E1	4.5507E0	4.2636E5	
194	-7.5562E-1	4.8489E1	4.5450E0	4.2858E5	
195	-7.5455E-1	5.0074E1	4.5392E0	4.3080E5	
196	-7.5500E-1	4.9395E1	4.5333E0	4.3302E5	
197	-7.5462E-1	4.9961E1	4.5274E0	4.3524E5	
198	-7.5645E-1	4.7243E1	4.5216E0	4.3746E5	
199	-7.5439E-1	5.0301E1	4.5157E0	4.3968E5	
200	-7.5325E-1	5.1999E1	4.5099E0	4.4190E5	
201	-7.5592E-1	4.8036E1	4.5040E0	4.4412E5	
202	-7.5661E-1	4.7017E1	4.4981E0	4.4634E5	
203	-7.5378E-1	5.1206E1	4.4923E0	4.4856E5	
204	-7.5356E-1	5.1546E1	4.4865E0	4.5078E5	
205	-7.5447E-1	5.0187E1	4.4806E0	4.5300E5	
206	-7.5378E-1	5.1206E1	4.4746E0	4.5522E5	
207	-7.5439E-1	5.0301E1	4.4688E0	4.5744E5	
208	-7.5340E-1	5.1773E1	4.4628E0	4.5966E5	
209	-7.5562E-1	4.8489E1	4.4570E0	4.6188E5	
210	-7.5363E-1	5.1433E1	4.4510E0	4.6410E5	
211	-7.5294E-1	5.2452E1	4.4452E0	4.6632E5	
212	-7.5432E-1	5.0414E1	4.4392E0	4.6854E5	
213	-7.5127E-1	5.4943E1	4.4333E0	4.7076E5	
214	-7.5310E-1	5.2225E1	4.4274E0	4.7298E5	
215	-7.5027E-1	5.6415E1	4.4215E0	4.7520E5	
216	-7.5142E-1	5.4716E1	4.4156E0	4.7742E5	
217	-7.5066E-1	5.5849E1	4.4096E0	4.7964E5	
218	-7.4951E-1	5.7547E1	4.4037E0	4.8186E5	
219	-7.5287E-1	5.2565E1	4.3977E0	4.8408E5	
220	-7.5050E-1	5.6075E1	4.3918E0	4.8630E5	
221	-7.4875E-1	5.8679E1	4.3858E0	4.8852E5	
222	-7.4974E-1	5.7207E1	4.3798E0	4.9074E5	
223	-7.5172E-1	5.4263E1	4.3740E0	4.9296E5	
224	-7.4959E-1	5.7434E1	4.3680E0	4.9518E5	
225	-7.4989E-1	5.6981E1	4.3620E0	4.9740E5	
226	-7.4623E-1	6.2416E1	4.3560E0	4.9962E5	
227	-7.4783E-1	6.0038E1	4.3501E0	5.0184E5	
228	-7.4760E-1	6.0378E1	4.3441E0	5.0406E5	
229	-7.4570E-1	6.3208E1	4.3381E0	5.0628E5	
230	-7.4860E-1	5.8906E1	4.3322E0	5.0850E5	
231	-7.4768E-1	6.0264E1	4.3261E0	5.1072E5	
232	-7.4646E-1	6.2076E1	4.3202E0	5.1294E5	
233	-7.4814E-1	5.9585E1	4.3141E0	5.1516E5	
234	-7.4532E-1	6.3774E1	4.3081E0	5.1738E5	
235	-7.4684E-1	6.1510E1	4.3021E0	5.1960E5	
236	-7.4829E-1	5.9359E1	4.2961E0	5.2182E5	
237	-7.4600E-1	6.2755E1	4.2900E0	5.2404E5	
238	-7.4799E-1	5.9812E1	4.2841E0	5.2626E5	
239	-7.4669E-1	6.1736E1	4.2780E0	5.2848E5	
240	-7.4554E-1	6.3435E1	4.2720E0	5.3070E5	
241	-7.4463E-1	6.4793E1	4.2659E0	5.3292E5	
242	-7.4646E-1	6.2076E1	4.2599E0	5.3514E5	
243	-7.4547E-1	6.3548E1	4.2539E0	5.3736E5	
244	-7.4402E-1	6.5699E1	4.2478E0	5.3958E5	
245	-7.4417E-1	6.5473E1	4.2418E0	5.4180E5	
246	-7.4341E-1	6.6605E1	4.2358E0	5.4402E5	
247	-7.4387E-1	6.5926E1	4.2297E0	5.4624E5	
248	-7.4669E-1	6.1736E1	4.2236E0	5.4846E5	
249	-7.4387E-1	6.5926E1	4.2175E0	5.5068E5	
250	-7.4432E-1	6.5246E1	4.2114E0	5.5290E5	
251	-7.4196E-1	6.8756E1	4.2054E0	5.5512E5	
252	-7.4265E-1	6.7737E1	4.1993E0	5.5734E5	
