point 255
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-8.4480E-1	3.4251E0	6.2130E0	1.2000E2	
2	-8.4831E-1	-1.7833E0	6.2120E0	2.3400E3	
3	-8.4602E-1	1.6135E0	6.2096E0	4.5600E3	
4	-8.4694E-1	2.5479E-1	6.2067E0	6.7800E3	
5	-8.4633E-1	1.1606E0	6.2037E0	9.0000E3	
6	-8.4579E-1	1.9532E0	6.2003E0	1.1220E4	
7	-8.4778E-1	-9.9070E-1	6.1967E0	1.3440E4	
8	-8.4534E-1	2.6325E0	6.1930E0	1.5660E4	
9	-8.4938E-1	-3.3684E0	6.1892E0	1.7880E4	
10	-8.4480E-1	3.4251E0	6.1852E0	2.0100E4	
11	-8.4641E-1	1.0474E0	6.1811E0	2.2320E4	
12	-8.4595E-1	1.7267E0	6.1770E0	2.4540E4	
13	-8.4503E-1	3.0854E0	6.1728E0	2.6760E4	
14	-8.4686E-1	3.6801E-1	6.1686E0	2.8980E4	
15	-8.4541E-1	2.5193E0	6.1642E0	3.1200E4	
16	-8.4564E-1	2.1796E0	6.1598E0	3.3420E4	
17	-8.4602E-1	1.6135E0	6.1555E0	3.5640E4	
18	-8.4496E-1	3.1987E0	6.1509E0	3.7860E4	
19	-8.4389E-1	4.7838E0	6.1464E0	4.0080E4	
20	-8.4358E-1	5.2367E0	6.1420E0	4.2300E4	
21	-8.4557E-1	2.2928E0	6.1374E0	4.4520E4	
22	-8.4305E-1	6.0293E0	6.1329E0	4.6740E4	
23	-8.4572E-1	2.0664E0	6.1282E0	4.8960E4	
24	-8.4412E-1	4.4441E0	6.1236E0	5.1180E4	
25	-8.4389E-1	4.7838E0	6.1190E0	5.3400E4	
26	-8.4404E-1	4.5574E0	6.1143E0	5.5620E4	
27	-8.4206E-1	7.5012E0	6.1095E0	5.7840E4	
28	-8.4328E-1	5.6896E0	6.1050E0	6.0060E4	
29	-8.4274E-1	6.4822E0	6.1001E0	6.2280E4	
30	-8.4221E-1	7.2748E0	6.0953E0	6.4500E4	
31	-8.4457E-1	3.7648E0	6.0907E0	6.6720E4	
32	-8.4206E-1	7.5012E0	6.0858E0	6.8940E4	
33	-8.4305E-1	6.0293E0	6.0810E0	7.1160E4	
34	-8.4007E-1	1.0445E1	6.0763E0	7.3380E4	
35	-8.4427E-1	4.2177E0	6.0714E0	7.5600E4	
36	-8.4106E-1	8.9732E0	6.0666E0	7.7820E4	
37	-8.4091E-1	9.1996E0	6.0617E0	8.0040E4	
38	-8.4145E-1	8.4070E0	6.0568E0	8.2260E4	
39	-8.4023E-1	1.0219E1	6.0520E0	8.4480E4	
40	-8.4183E-1	7.8409E0	6.0470E0	8.6700E4	
41	-8.4328E-1	5.6896E0	6.0421E0	8.8920E4	
