point 055
Index	Vertical (A-B)	Force	Z Height	Time Stamp	
     	V	nN	?m	?sec	
1	-8.2291E-1	2.3495E0	6.4608E0	1.2000E2	
2	-8.2611E-1	-2.4060E0	6.4601E0	2.3400E3	
3	-8.2382E-1	9.9079E-1	6.4580E0	4.5600E3	
4	-8.2420E-1	4.2467E-1	6.4554E0	6.7800E3	
5	-8.2405E-1	6.5112E-1	6.4525E0	9.0000E3	
6	-8.2275E-1	2.5760E0	6.4492E0	1.1220E4	
7	-8.2283E-1	2.4627E0	6.4458E0	1.3440E4	
8	-8.2184E-1	3.9347E0	6.4422E0	1.5660E4	
9	-8.2489E-1	-5.9437E-1	6.4384E0	1.7880E4	
10	-8.2298E-1	2.2363E0	6.4346E0	2.0100E4	
11	-8.2336E-1	1.6701E0	6.4307E0	2.2320E4	
12	-8.2245E-1	3.0289E0	6.4266E0	2.4540E4	
13	-8.2260E-1	2.8024E0	6.4224E0	2.6760E4	
14	-8.2359E-1	1.3305E0	6.4183E0	2.8980E4	
15	-8.2207E-1	3.5950E0	6.4140E0	3.1200E4	
16	-8.2489E-1	-5.9437E-1	6.4097E0	3.3420E4	
17	-8.2169E-1	4.1611E0	6.4053E0	3.5640E4	
18	-8.2436E-1	1.9821E-1	6.4009E0	3.7860E4	
19	-8.2253E-1	2.9156E0	6.3965E0	4.0080E4	
20	-8.2260E-1	2.8024E0	6.3920E0	4.2300E4	
21	-8.2016E-1	6.4256E0	6.3875E0	4.4520E4	
22	-8.1978E-1	6.9918E0	6.3829E0	4.6740E4	
23	-8.2123E-1	4.8405E0	6.3784E0	4.8960E4	
24	-8.2092E-1	5.2934E0	6.3738E0	5.1180E4	
25	-8.2123E-1	4.8405E0	6.3691E0	5.3400E4	
26	-8.2100E-1	5.1801E0	6.3646E0	5.5620E4	
27	-8.2092E-1	5.2934E0	6.3598E0	5.7840E4	
28	-8.1940E-1	7.5579E0	6.3552E0	6.0060E4	
29	-8.2169E-1	4.1611E0	6.3505E0	6.2280E4	
30	-8.2222E-1	3.3685E0	6.3457E0	6.4500E4	
31	-8.2031E-1	6.1992E0	6.3409E0	6.6720E4	
32	-8.2001E-1	6.6521E0	6.3362E0	6.8940E4	
33	-8.1940E-1	7.5579E0	6.3314E0	7.1160E4	
34	-8.2069E-1	5.6330E0	6.3267E0	7.3380E4	
35	-8.1863E-1	8.6901E0	6.3218E0	7.5600E4	
36	-8.1902E-1	8.1240E0	6.3171E0	7.7820E4	
37	-8.1825E-1	9.2563E0	6.3122E0	8.0040E4	
38	-8.1917E-1	7.8976E0	6.3073E0	8.2260E4	
39	-8.1833E-1	9.1430E0	6.3024E0	8.4480E4	
40	-8.1787E-1	9.8224E0	6.2976E0	8.6700E4	
41	-8.1749E-1	1.0389E1	6.2927E0	8.8920E4	
42	-8.1940E-1	7.5579E0	6.2878E0	9.1140E4	
43	-8.1749E-1	1.0389E1	6.2828E0	9.3360E4	
44	-8.1650E-1	1.1860E1	6.2779E0	9.5580E4	
45	-8.1856E-1	8.8034E0	6.2730E0	9.7800E4	
46	-8.1871E-1	8.5769E0	6.2682E0	1.0002E5	
47	-8.1749E-1	1.0389E1	6.2631E0	1.0224E5	
48	-8.1642E-1	1.1974E1	6.2581E0	1.0446E5	
49	-8.1909E-1	8.0108E0	6.2533E0	1.0668E5	
50	-8.1818E-1	9.3695E0	6.2483E0	1.0890E5	
51	-8.1589E-1	1.2766E1	6.2433E0	1.1112E5	
52	-8.1802E-1	9.5960E0	6.2383E0	1.1334E5	
53	-8.1665E-1	1.1634E1	6.2333E0	1.1556E5	
54	-8.1795E-1	9.7092E0	6.2283E0	1.1778E5	
55	-8.1604E-1	1.2540E1	6.2232E0	1.2000E5	
56	-8.1680E-1	1.1408E1	6.2183E0	1.2222E5	
57	-8.1451E-1	1.4804E1	6.2131E0	1.2444E5	
58	-8.1573E-1	1.2993E1	6.2081E0	1.2666E5	
59	-8.1520E-1	1.3785E1	6.2030E0	1.2888E5	
60	-8.1589E-1	1.2766E1	6.1979E0	1.3110E5	
61	-8.1558E-1	1.3219E1	6.1929E0	1.3332E5	
62	-8.1573E-1	1.2993E1	6.1878E0	1.3554E5	
63	-8.1413E-1	1.5370E1	6.1827E0	1.3776E5	
64	-8.1383E-1	1.5823E1	6.1776E0	1.3998E5	
65	-8.1573E-1	1.2993E1	6.1725E0	1.4220E5	
66	-8.1367E-1	1.6050E1	6.1674E0	1.4442E5	
67	-8.1429E-1	1.5144E1	6.1624E0	1.4664E5	
68	-8.1589E-1	1.2766E1	6.1572E0	1.4886E5	
69	-8.1665E-1	1.1634E1	6.1520E0	1.5108E5	
70	-8.1245E-1	1.7861E1	6.1469E0	1.5330E5	
71	-8.1360E-1	1.6163E1	6.1417E0	1.5552E5	
72	-8.1497E-1	1.4125E1	6.1365E0	1.5774E5	
73	-8.1459E-1	1.4691E1	6.1314E0	1.5996E5	
74	-8.1276E-1	1.7409E1	6.1261E0	1.6218E5	
75	-8.1192E-1	1.8654E1	6.1210E0	1.6440E5	
76	-8.1161E-1	1.9107E1	6.1158E0	1.6662E5	
77	-8.1123E-1	1.9673E1	6.1106E0	1.6884E5	
78	-8.1360E-1	1.6163E1	6.1055E0	1.7106E5	
79	-8.1177E-1	1.8880E1	6.1002E0	1.7328E5	
80	-8.1108E-1	1.9899E1	6.0950E0	1.7550E5	
81	-8.1177E-1	1.8880E1	6.0898E0	1.7772E5	
82	-8.1055E-1	2.0692E1	6.0846E0	1.7994E5	
83	-8.1215E-1	1.8314E1	6.0793E0	1.8216E5	
84	-8.1215E-1	1.8314E1	6.0742E0	1.8438E5	
85	-8.1062E-1	2.0579E1	6.0689E0	1.8660E5	
86	-8.0963E-1	2.2051E1	6.0636E0	1.8882E5	
87	-8.1261E-1	1.7635E1	6.0584E0	1.9104E5	
88	-8.0994E-1	2.1598E1	6.0531E0	1.9326E5	
89	-8.1055E-1	2.0692E1	6.0479E0	1.9548E5	
90	-8.1100E-1	2.0013E1	6.0425E0	1.9770E5	
91	-8.0986E-1	2.1711E1	6.0372E0	1.9992E5	
92	-8.0750E-1	2.5221E1	6.0320E0	2.0214E5	
93	-8.0910E-1	2.2843E1	6.0267E0	2.0436E5	
94	-8.1009E-1	2.1371E1	6.0214E0	2.0658E5	
95	-8.0894E-1	2.3070E1	6.0160E0	2.0880E5	
96	-8.1192E-1	1.8654E1	6.0108E0	2.1102E5	
97	-8.1093E-1	2.0126E1	6.0054E0	2.1324E5	
98	-8.0933E-1	2.2504E1	6.0001E0	2.1546E5	
99	-8.0917E-1	2.2730E1	5.9947E0	2.1768E5	
100	-8.0788E-1	2.4655E1	5.9894E0	2.1990E5	
101	-8.0742E-1	2.5334E1	5.9841E0	2.2212E5	
102	-8.0879E-1	2.3296E1	5.9787E0	2.2434E5	
103	-8.0933E-1	2.2504E1	5.9734E0	2.2656E5	
104	-8.0872E-1	2.3409E1	5.9680E0	2.2878E5	
105	-8.0849E-1	2.3749E1	5.9627E0	2.3100E5	
106	-8.0750E-1	2.5221E1	5.9573E0	2.3322E5	
107	-8.0673E-1	2.6353E1	5.9519E0	2.3544E5	
108	-8.0551E-1	2.8165E1	5.9465E0	2.3766E5	
109	-8.0612E-1	2.7259E1	5.9411E0	2.3988E5	
110	-8.0620E-1	2.7146E1	5.9357E0	2.4210E5	
111	-8.0811E-1	2.4315E1	5.9303E0	2.4432E5	
112	-8.0673E-1	2.6353E1	5.9250E0	2.4654E5	
113	-8.0498E-1	2.8958E1	5.9195E0	2.4876E5	
114	-8.0528E-1	2.8505E1	5.9141E0	2.5098E5	
115	-8.0627E-1	2.7033E1	5.9086E0	2.5320E5	
116	-8.0750E-1	2.5221E1	5.9032E0	2.5542E5	
117	-8.0566E-1	2.7939E1	5.8977E0	2.5764E5	
118	-8.0452E-1	2.9637E1	5.8923E0	2.5986E5	
119	-8.0414E-1	3.0203E1	5.8869E0	2.6208E5	
120	-8.0322E-1	3.1562E1	5.8815E0	2.6430E5	
121	-8.0528E-1	2.8505E1	5.8760E0	2.6652E5	
122	-8.0330E-1	3.1449E1	5.8705E0	2.6874E5	
123	-8.0460E-1	2.9524E1	5.8650E0	2.7096E5	
124	-8.0482E-1	2.9184E1	5.8595E0	2.7318E5	
125	-8.0513E-1	2.8731E1	5.8541E0	2.7540E5	
126	-8.0345E-1	3.1222E1	5.8485E0	2.7762E5	
127	-8.0421E-1	3.0090E1	5.8431E0	2.7984E5	
128	-8.0383E-1	3.0656E1	5.8376E0	2.8206E5	
129	-8.0475E-1	2.9297E1	5.8321E0	2.8428E5	
130	-8.0383E-1	3.0656E1	5.8266E0	2.8650E5	
131	-8.0498E-1	2.8958E1	5.8210E0	2.8872E5	
132	-8.0261E-1	3.2468E1	5.8155E0	2.9094E5	
133	-8.0376E-1	3.0769E1	5.8100E0	2.9316E5	
134	-8.0284E-1	3.2128E1	5.8045E0	2.9538E5	
135	-8.0116E-1	3.4619E1	5.7988E0	2.9760E5	
136	-8.0231E-1	3.2920E1	5.7933E0	2.9982E5	
137	-8.0276E-1	3.2241E1	5.7879E0	3.0204E5	
138	-8.0185E-1	3.3600E1	5.7823E0	3.0426E5	
139	-8.0109E-1	3.4732E1	5.7767E0	3.0648E5	
140	-8.0170E-1	3.3826E1	5.7711E0	3.0870E5	
141	-7.9994E-1	3.6430E1	5.7655E0	3.1092E5	
142	-8.0132E-1	3.4392E1	5.7601E0	3.1314E5	
143	-8.0132E-1	3.4392E1	5.7544E0	3.1536E5	
144	-8.0002E-1	3.6317E1	5.7488E0	3.1758E5	
145	-8.0101E-1	3.4845E1	5.7432E0	3.1980E5	
146	-8.0063E-1	3.5411E1	5.7377E0	3.2202E5	
147	-8.0048E-1	3.5638E1	5.7321E0	3.2424E5	
148	-8.0032E-1	3.5864E1	5.7264E0	3.2646E5	
149	-7.9788E-1	3.9488E1	5.7208E0	3.2868E5	
150	-7.9926E-1	3.7449E1	5.7152E0	3.3090E5	
151	-8.0086E-1	3.5072E1	5.7096E0	3.3312E5	
152	-7.9704E-1	4.0733E1	5.7039E0	3.3534E5	
153	-8.0025E-1	3.5978E1	5.6983E0	3.3756E5	
154	-7.9987E-1	3.6544E1	5.6927E0	3.3978E5	
155	-7.9712E-1	4.0620E1	5.6871E0	3.4200E5	
156	-8.0040E-1	3.5751E1	5.6814E0	3.4422E5	
157	-7.9712E-1	4.0620E1	5.6758E0	3.4644E5	
158	-7.9811E-1	3.9148E1	5.6702E0	3.4866E5	
159	-7.9742E-1	4.0167E1	5.6643E0	3.5088E5	
160	-7.9643E-1	4.1639E1	5.6587E0	3.5310E5	
161	-7.9857E-1	3.8469E1	5.6531E0	3.5532E5	
162	-7.9765E-1	3.9827E1	5.6474E0	3.5754E5	
163	-7.9575E-1	4.2658E1	5.6416E0	3.5976E5	
164	-7.9803E-1	3.9261E1	5.6360E0	3.6198E5	
165	-7.9483E-1	4.4017E1	5.6303E0	3.6420E5	
166	-7.9575E-1	4.2658E1	5.6247E0	3.6642E5	
167	-7.9628E-1	4.1865E1	5.6189E0	3.6864E5	
168	-7.9773E-1	3.9714E1	5.6132E0	3.7086E5	
169	-7.9704E-1	4.0733E1	5.6074E0	3.7308E5	
170	-7.9529E-1	4.3337E1	5.6018E0	3.7530E5	
171	-7.9498E-1	4.3790E1	5.5960E0	3.7752E5	
172	-7.9575E-1	4.2658E1	5.5902E0	3.7974E5	
173	-7.9399E-1	4.5262E1	5.5845E0	3.8196E5	
174	-7.9239E-1	4.7640E1	5.5789E0	3.8418E5	
175	-7.9483E-1	4.4017E1	5.5730E0	3.8640E5	
176	-7.9346E-1	4.6055E1	5.5674E0	3.8862E5	
177	-7.9277E-1	4.7074E1	5.5615E0	3.9084E5	
178	-7.9338E-1	4.6168E1	5.5559E0	3.9306E5	
179	-7.9643E-1	4.1639E1	5.5500E0	3.9528E5	
180	-7.9330E-1	4.6281E1	5.5443E0	3.9750E5	
181	-7.9559E-1	4.2884E1	5.5385E0	3.9972E5	
182	-7.9224E-1	4.7866E1	5.5327E0	4.0194E5	
183	-7.9414E-1	4.5036E1	5.5270E0	4.0416E5	
184	-7.9391E-1	4.5375E1	5.5212E0	4.0638E5	
185	-7.9247E-1	4.7527E1	5.5154E0	4.0860E5	
186	-7.9247E-1	4.7527E1	5.5096E0	4.1082E5	
187	-7.9254E-1	4.7413E1	5.5037E0	4.1304E5	
188	-7.9262E-1	4.7300E1	5.4980E0	4.1526E5	
189	-7.9430E-1	4.4809E1	5.4921E0	4.1748E5	
190	-7.9262E-1	4.7300E1	5.4864E0	4.1970E5	
191	-7.9025E-1	5.0810E1	5.4806E0	4.2192E5	
192	-7.9300E-1	4.6734E1	5.4747E0	4.2414E5	
193	-7.9132E-1	4.9225E1	5.4689E0	4.2636E5	
194	-7.9231E-1	4.7753E1	5.4630E0	4.2858E5	
195	-7.9308E-1	4.6621E1	5.4572E0	4.3080E5	
196	-7.9170E-1	4.8659E1	5.4513E0	4.3302E5	
197	-7.9117E-1	4.9451E1	5.4455E0	4.3524E5	
198	-7.8934E-1	5.2169E1	5.4396E0	4.3746E5	
199	-7.9140E-1	4.9112E1	5.4339E0	4.3968E5	
200	-7.9247E-1	4.7527E1	5.4280E0	4.4190E5	
